TimeSeries ID,pod/network/received_bytes_count.k8s_pod.ALIGN_RATE.REDUCE_NONE.metric.type="kubernetes.io/pod/network/received_bytes_count" resource.type="k8s_pod" resource.labels.cluster_name="online-boutique" AND resource.labels.project_id="cnae-422614" AND resource.labels.location="us-central1" AND resource.labels.namespace_name="default" AND metadata.system_labels.service_name="frontend-external".cluster_name:online-boutique.location:us-central1.namespace_name:default.pod_name:frontend-6ccf88564c-svq69.project_id:cnae-422614
location,us-central1
pod_name,frontend-6ccf88564c-svq69
cluster_name,online-boutique
project_id,cnae-422614
namespace_name,default
Tue Jun 18 2024 17:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),1406.6827776953803
Tue Jun 18 2024 17:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),12011.841770678007
Tue Jun 18 2024 17:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),13029.483566671086
Tue Jun 18 2024 17:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),37754.24122367534
Tue Jun 18 2024 17:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),35195.21593774833
Tue Jun 18 2024 17:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),12470.440560630597
Tue Jun 18 2024 17:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11247.859732177034
Tue Jun 18 2024 17:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),11886.775030471783
Tue Jun 18 2024 17:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11189.187025395533
Tue Jun 18 2024 18:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),12104.702741397123
Tue Jun 18 2024 18:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),11587.018959096373
Tue Jun 18 2024 18:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),11632.288756060601
Tue Jun 18 2024 18:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),12107.74397006231
Tue Jun 18 2024 18:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),19034.884295801297
Tue Jun 18 2024 18:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),47590.83748083939
Tue Jun 18 2024 18:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),12132.53830488826
Tue Jun 18 2024 18:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),12064.286080266635
Tue Jun 18 2024 18:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11916.199625608773
Tue Jun 18 2024 18:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11276.653239460587
Tue Jun 18 2024 18:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),11525.782727745871
Tue Jun 18 2024 18:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11971.33183745126
Tue Jun 18 2024 19:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11497.987501185935
Tue Jun 18 2024 19:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),11490.965144635093
Tue Jun 18 2024 19:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),12398.661420410524
Tue Jun 18 2024 19:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11510.887870209268
Tue Jun 18 2024 19:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11613.606648658466
Tue Jun 18 2024 19:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),11280.96805290853
Tue Jun 18 2024 19:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),11776.99466092204
Tue Jun 18 2024 19:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11895.61860098064
Tue Jun 18 2024 19:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),32154.19702412655
Tue Jun 18 2024 19:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),36177.11870453378
Tue Jun 18 2024 19:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),32794.55260357261
Tue Jun 18 2024 19:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),32495.795952010652
